Station ID,Message,,,
010216400,No data available,,,
011475610,No data available,,,
04149000,No data available,,,
07099215,No data available,,,
02203559,No data available,,,
014301500,No data available,,,
06894500,No data available,,,
02310525,No data available,,,
02197380,No data available,,,
011467200,No data available,,,
014201500,No data available,,,
07311783,No data available,,,
09277800,No data available,,,
01300500,No data available,,,
08063500,No data available,,,
013118700,No data available,,,
09205500,No data available,,,
012104000,No data available,,,
09201000,No data available,,,
010308789,No data available,,,
012100500,No data available,,,
010215900,No data available,,,
06681500,No data available,,,
07332600,No data available,,,
03299000,No data available,,,
06685000,No data available,,,
07176950,No data available,,,
01528000,No data available,,,
04134000,No data available,,,
011031500,No data available,,,
011282000,No data available,,,
010257500,No data available,,,
010336698,No data available,,,
04130500,No data available,,,
05503000,No data available,,,
01187400,No data available,,,
09279150,No data available,,,
010353000,No data available,,,
05507500,No data available,,,
011382000,No data available,,,
011131500,No data available,,,
010406500,No data available,,,
09278500,No data available,,,
03153000,No data available,,,
011169025,No data available,,,
02182000,No data available,,,
012079000,No data available,,,
010206001,No data available,,,
09182400,No data available,,,
02082000,No data available,,,
08431700,No data available,,,
03544947,No data available,,,
08079000,No data available,,,
016031000,No data available,,,
02407000,No data available,,,
03130000,No data available,,,
02356000,No data available,,,
014197900,No data available,,,
08179000,No data available,,,
010234500,No data available,,,
04157000,No data available,,,
011466320,No data available,,,
011152500,No data available,,,
012396900,No data available,,,
04057000,No data available,,,
05231000,No data available,,,
010183500,No data available,,,
09262000,No data available,,,
06204500,No data available,,,
02437100,No data available,,,
014319830,No data available,,,
012167000,No data available,,,
013205500,No data available,,,
08104000,No data available,,,
